"EID","REFERRAL","NUMBER_JOBS","PROG_EXER_RATE","INTPER_RATE","PRIOR_EXP","HIRE_REC","HIRE_DATE","TURNOVER_DATE","TURNOVER"
453921,"No","2","Pass",6,"Yes",2,2017-02-01,NA,"No"
732470,"No","3+","Pass",10,"No",2,2016-02-01,2017-12-01,"Yes"
169619,"No","3+","Concerns",10,"No",1,2016-02-01,NA,"No"
953421,"No","0-1","Concerns",6,"No",2,2017-02-01,2017-07-01,"Yes"
363973,"No","2","Pass",10,"Yes",3,2016-02-01,NA,"No"
779914,"No","0-1","Pass",7,"No",2,2017-01-01,2021-01-01,"Yes"
695444,"No","0-1","Pass",10,"No",2,2017-02-01,NA,"No"
464616,"No","2","Pass",9,"No",3,2017-03-01,2017-07-01,"Yes"
789667,"No","0-1","Concerns",7,"No",2,2016-07-01,2016-08-01,"Yes"
109941,"No","0-1","Pass",7,"Yes",3,2016-01-01,2016-03-01,"Yes"
322436,"No","0-1","Pass",8,"No",3,2016-02-01,NA,"No"
507806,"No","2","Pass",9,"Yes",2,2017-02-01,2020-03-01,"Yes"
514481,"No","0-1","Concerns",10,"No",2,2017-02-01,NA,"No"
674360,"No","0-1","Concerns",9,"Yes",2,2017-01-01,2018-06-01,"Yes"
598819,"No","0-1","Pass",8,"No",2,2017-01-01,2018-12-01,"Yes"
415832,"Yes","2","Pass",1,"No",3,2016-02-01,NA,"No"
131938,"No","2","Pass+",10,"No",3,2016-01-01,2018-06-01,"Yes"
260497,"No","0-1","Pass",8,"No",3,2016-07-01,2020-07-01,"Yes"
118584,"No","0-1","Concerns",10,"No",3,2017-09-01,2019-11-01,"Yes"
838685,"Yes","3+","Pass",10,"No",2,2016-03-01,NA,"No"
192700,"No","0-1","Pass",10,"No",3,2017-02-01,NA,"No"
159351,"No","2","Pass",8,"No",2,2016-02-01,2016-08-01,"Yes"
744549,"No","0-1","Pass",10,"Yes",3,2016-02-01,2018-06-01,"Yes"
410850,"No","3+","Pass",10,"No",3,2016-02-01,NA,"No"
879716,"No","2","Pass",10,"Yes",2,2017-02-01,NA,"No"
389870,"No","3+","Concerns",9,"No",3,2017-10-01,NA,"No"
423563,"No","0-1","Pass",8,"No",2,2017-01-01,NA,"No"
474270,"No","0-1","Pass",10,"No",2,2017-01-01,NA,"No"
664514,"No","2","Pass",10,"Yes",3,2016-03-01,2021-02-01,"Yes"
114338,"No","0-1","Pass",7,"No",2,2017-02-01,2017-03-01,"Yes"
694771,"No","3+","Pass",9,"No",2,2016-02-01,NA,"No"
871674,"No","0-1","Concerns",9,"No",3,2016-11-01,2018-08-01,"Yes"
727229,"No","0-1","Pass+",10,"No",2,2016-02-01,2019-10-01,"Yes"
413597,"No","0-1","Pass",9,"No",2,2017-08-01,NA,"No"
129513,"No","0-1","Pass+",7,"Yes",3,2016-01-01,NA,"No"
912411,"No","0-1","Concerns",10,"Yes",2,2016-02-01,2018-07-01,"Yes"
126688,"No","0-1","Concerns",8,"No",2,2016-02-01,NA,"No"
805085,"No","0-1","Pass+",7,"No",2,2017-01-01,2021-02-01,"Yes"
759544,"No","0-1","Pass",10,"No",2,2016-06-01,2020-04-01,"Yes"
251277,"No","0-1","Pass",7,"No",2,2016-02-01,2018-07-01,"Yes"
721727,"No","2","Pass",10,"No",2,2017-02-01,2020-11-01,"Yes"
823954,"No","2","Pass",7,"No",3,2017-04-01,2018-02-01,"Yes"
826042,"No","0-1","Pass",10,"Yes",2,2016-06-01,NA,"No"
599246,"No","0-1","Pass",7,"No",2,2016-01-01,NA,"No"
333273,"No","2","Pass",8,"No",2,2017-01-01,2017-05-01,"Yes"
602496,"No","2","Pass",10,"No",3,2017-08-01,2019-09-01,"Yes"
275435,"No","2","Pass",8,"No",3,2017-02-01,2020-11-01,"Yes"
531619,"No","0-1","Pass",9,"Yes",3,2016-02-01,2018-03-01,"Yes"
993090,"No","0-1","Concerns",8,"No",2,2017-01-01,2018-10-01,"Yes"
253322,"No","0-1","Concerns",9,"Yes",1,2016-03-01,2017-10-01,"Yes"
346334,"No","0-1","Pass+",8,"No",3,2017-01-01,2020-05-01,"Yes"
866551,"No","2","Concerns",10,"No",2,2017-01-01,NA,"No"
419089,"No","0-1","Concerns",10,"No",2,2016-06-01,NA,"No"
439329,"No","0-1","Pass",8,"Yes",3,2016-01-01,NA,"No"
382949,"No","3+","Pass+",7,"Yes",2,2016-01-01,2016-02-01,"Yes"
820383,"Yes","0-1","Pass+",7,"No",2,2017-03-01,NA,"No"
284327,"No","0-1","Pass",8,"No",2,2016-02-01,NA,"No"
132175,"No","0-1","Pass",9,"No",2,2017-04-01,2017-07-01,"Yes"
917217,"No","0-1","Pass",10,"Yes",2,2016-02-01,NA,"No"
958139,"No","0-1","Pass",0,"No",3,2016-02-01,NA,"No"
214823,"No","0-1","Pass",10,"Yes",2,2016-02-01,NA,"No"
629661,"No","0-1","Pass",9,"No",3,2017-01-01,2017-02-01,"Yes"
975159,"No","0-1","Pass+",10,"No",3,2016-12-01,2020-06-01,"Yes"
830866,"No","2","Pass",8,"Yes",3,2016-02-01,2018-03-01,"Yes"
368483,"No","0-1","Pass",10,"Yes",2,2017-04-01,2019-01-01,"Yes"
347642,"No","0-1","Pass",7,"No",2,2016-01-01,NA,"No"
926069,"No","0-1","Pass",10,"Yes",2,2017-01-01,NA,"No"
172663,"No","0-1","Pass",9,"No",1,2017-02-01,2022-01-01,"Yes"
987439,"No","0-1","Pass",8,"Yes",2,2016-08-01,NA,"No"
675484,"No","0-1","Concerns",9,"No",3,2017-03-01,2018-03-01,"Yes"
451387,"No","3+","Pass",7,"Yes",3,2016-06-01,2018-04-01,"Yes"
467009,"No","0-1","Pass",9,"No",2,2016-02-01,NA,"No"
265938,"No","0-1","Pass",8,"Yes",2,2017-02-01,2019-05-01,"Yes"
710457,"Yes","0-1","Pass",10,"No",1,2016-01-01,NA,"No"
979252,"No","2","Concerns",10,"No",2,2017-02-01,NA,"No"
500011,"No","0-1","Pass",6,"No",2,2016-02-01,2018-08-01,"Yes"
171495,"No","0-1","Pass+",10,"No",3,2016-01-01,2018-04-01,"Yes"
490197,"No","0-1","Pass",9,"Yes",3,2016-09-01,2020-07-01,"Yes"
713878,"No","0-1","Pass",10,"Yes",3,2016-02-01,NA,"No"
522771,"No","0-1","Pass",8,"No",1,2016-02-01,2018-07-01,"Yes"
902714,"No","0-1","Pass",7,"No",3,2017-08-01,NA,"No"
227178,"No","0-1","Pass",10,"No",3,2017-06-01,2017-09-01,"Yes"
584166,"No","0-1","Pass",10,"No",3,2017-05-01,2021-06-01,"Yes"
671614,"No","2","Pass",10,"No",3,2017-03-01,NA,"No"
933398,"No","0-1","Pass",10,"No",2,2017-06-01,2018-08-01,"Yes"
594762,"No","2","Pass",8,"No",1,2016-02-01,NA,"No"
752483,"No","0-1","Pass",8,"No",3,2017-02-01,2020-11-01,"Yes"
863926,"No","0-1","Pass",9,"No",1,2016-01-01,NA,"No"
926276,"No","2","Concerns",6,"Yes",3,2017-01-01,2017-05-01,"Yes"
512562,"No","0-1","Concerns",7,"No",3,2016-02-01,2016-06-01,"Yes"
571760,"No","0-1","Pass",8,"No",2,2016-02-01,2018-06-01,"Yes"
863347,"No","0-1","Pass",7,"No",2,2017-03-01,2019-08-01,"Yes"
370789,"No","0-1","Pass",10,"No",3,2016-03-01,NA,"No"
208249,"No","0-1","Pass",9,"Yes",1,2017-02-01,NA,"No"
949911,"No","0-1","Pass",10,"No",3,2016-02-01,2016-06-01,"Yes"
105130,"No","2","Pass",7,"No",2,2016-02-01,2022-01-01,"Yes"
531419,"No","2","Pass",7,"No",1,2016-02-01,2018-02-01,"Yes"
308394,"No","2","Pass",7,"No",2,2017-02-01,2017-12-01,"Yes"
714729,"No","2","Pass",8,"No",3,2016-03-01,2020-08-01,"Yes"
540067,"No","0-1","Concerns",10,"No",3,2016-02-01,NA,"No"
210324,"No","0-1","Pass",0,"No",1,2017-02-01,2019-02-01,"Yes"
789019,"Yes","0-1","Pass",9,"No",2,2016-02-01,2016-08-01,"Yes"
286709,"No","0-1","Pass",8,"No",2,2017-01-01,2017-03-01,"Yes"
489584,"Yes","0-1","Pass",8,"No",1,2017-09-01,2020-06-01,"Yes"
985630,"No","0-1","Pass",10,"No",2,2016-06-01,NA,"No"
316085,"No","0-1","Pass",1,"Yes",3,2016-01-01,NA,"No"
440605,"No","0-1","Pass",7,"No",0,2017-02-01,2019-08-01,"Yes"
154118,"No","0-1","Pass",7,"Yes",1,2017-03-01,2017-07-01,"Yes"
526652,"No","0-1","Concerns",8,"No",2,2016-04-01,2020-11-01,"Yes"
124516,"No","2","Pass",7,"No",3,2017-01-01,NA,"No"
339339,"No","0-1","Pass",10,"No",3,2017-12-01,NA,"No"
983484,"No","0-1","Pass",10,"No",3,2016-02-01,2018-10-01,"Yes"
991370,"No","0-1","Pass",10,"No",2,2016-02-01,2018-04-01,"Yes"
943071,"No","2","Pass+",1,"No",3,2016-01-01,2020-06-01,"Yes"
429178,"No","0-1","Concerns",10,"No",2,2016-02-01,2019-04-01,"Yes"
484438,"Yes","0-1","Pass",9,"No",2,2017-04-01,2019-11-01,"Yes"
802857,"No","0-1","Pass",8,"No",3,2016-03-01,NA,"No"
585234,"No","3+","Pass",6,"No",3,2017-02-01,2017-03-01,"Yes"
135640,"No","0-1","Pass",10,"No",3,2016-08-01,NA,"No"
431044,"No","0-1","Pass",7,"No",1,2017-03-01,2021-02-01,"Yes"
646564,"No","0-1","Concerns",10,"No",2,2017-06-01,2020-01-01,"Yes"
368694,"No","2","Concerns",4,"No",2,2016-02-01,2016-05-01,"Yes"
892054,"No","2","Pass",8,"No",2,2016-03-01,2018-07-01,"Yes"
619482,"No","0-1","Pass+",7,"No",2,2017-02-01,2021-02-01,"Yes"
434712,"No","3+","Pass",10,"No",3,2016-01-01,NA,"No"
329901,"No","3+","Pass",10,"No",3,2016-02-01,2020-08-01,"Yes"
829234,"No","0-1","Pass",10,"No",2,2016-03-01,2020-07-01,"Yes"
482957,"No","0-1","Pass",9,"No",2,2016-07-01,2018-02-01,"Yes"
789108,"No","0-1","Pass",7,"No",2,2016-01-01,2016-09-01,"Yes"
895601,"No","2","Pass",9,"Yes",2,2017-04-01,NA,"No"
529456,"No","2","Pass",7,"Yes",2,2017-02-01,NA,"No"
704260,"No","0-1","Concerns",8,"No",2,2017-06-01,2021-02-01,"Yes"
905360,"No","0-1","Pass",10,"No",2,2017-01-01,2017-06-01,"Yes"
452122,"No","2","Concerns",10,"Yes",3,2016-02-01,2018-03-01,"Yes"
920592,"Yes","0-1","Concerns",6,"Yes",3,2016-02-01,2018-06-01,"Yes"
189775,"No","2","Pass",10,"No",2,2017-02-01,NA,"No"
905675,"No","0-1","Pass",10,"No",3,2017-05-01,NA,"No"
240184,"No","0-1","Concerns",10,"No",1,2016-02-01,2018-06-01,"Yes"
611673,"No","0-1","Pass",9,"No",2,2017-01-01,2021-03-01,"Yes"
