"from","to","weight"
"ChrisCoons","ChrisMurphyCT",2
"ChrisCoons","ChrisVanHollen",1
"ChrisCoons","ChuckGrassley",4
"ChrisCoons","JerryMoran",1
"ChrisCoons","JohnCornyn",9
"ChrisCoons","LindseyGrahamSC",1
"ChrisCoons","marcorubio",1
"ChrisCoons","MartinHeinrich",1
"ChrisCoons","maziehirono",4
"ChrisCoons","ossoff",1
"ChrisCoons","RonWyden",1
"ChrisCoons","RoyBlunt",2
"ChrisCoons","SenAlexPadilla",1
"ChrisCoons","SenAmyKlobuchar",2
"ChrisCoons","SenAngusKing",2
"ChrisCoons","SenatorBaldwin",1
"ChrisCoons","SenatorBraun",3
"ChrisCoons","SenatorCarper",14
"ChrisCoons","SenatorCollins",2
"ChrisCoons","SenatorDurbin",2
"ChrisCoons","SenatorHick",1
"ChrisCoons","SenatorLujan",5
"ChrisCoons","SenatorMenendez",3
"ChrisCoons","SenatorRisch",1
"ChrisCoons","SenatorSinema",3
"ChrisCoons","SenatorTimScott",2
"ChrisCoons","SenatorWarnock",1
"ChrisCoons","SenatorWicker",2
"ChrisCoons","SenBillCassidy",3
"ChrisCoons","SenDanSullivan",3
"ChrisCoons","SenDuckworth",4
"ChrisCoons","SenFeinstein",3
"ChrisCoons","SenJeffMerkley",1
"ChrisCoons","SenKevinCramer",1
"ChrisCoons","SenMarkey",6
"ChrisCoons","senrobportman",3
"ChrisCoons","SenSchumer",3
"ChrisCoons","SenSherrodBrown",2
"ChrisCoons","SenThomTillis",6
"ChrisCoons","SenTinaSmith",2
"ChrisCoons","SenWhitehouse",5
"ChrisCoons","timkaine",1
"ChrisMurphyCT","ChrisCoons",2
"ChrisMurphyCT","ChuckGrassley",2
"ChrisMurphyCT","CoryBooker",12
"ChrisMurphyCT","JohnCornyn",14
"ChrisMurphyCT","LindseyGrahamSC",1
"ChrisMurphyCT","MarshaBlackburn",1
"ChrisMurphyCT","MartinHeinrich",5
"ChrisMurphyCT","ossoff",2
"ChrisMurphyCT","PattyMurray",2
"ChrisMurphyCT","Sen_JoeManchin",2
"ChrisMurphyCT","SenAlexPadilla",2
"ChrisMurphyCT","SenAngusKing",1
"ChrisMurphyCT","SenatorCollins",2
"ChrisMurphyCT","SenatorDurbin",6
"ChrisMurphyCT","SenatorLeahy",1
"ChrisMurphyCT","SenatorShaheen",7
"ChrisMurphyCT","SenatorSinema",6
"ChrisMurphyCT","SenatorTester",1
"ChrisMurphyCT","SenBillCassidy",6
"ChrisMurphyCT","SenBlumenthal",15
"ChrisMurphyCT","SenGillibrand",1
"ChrisMurphyCT","SenJackReed",1
"ChrisMurphyCT","SenJoniErnst",1
"ChrisMurphyCT","SenMarkey",2
"ChrisMurphyCT","SenMikeLee",1
"ChrisMurphyCT","senrobportman",3
"ChrisMurphyCT","SenSchumer",1
"ChrisMurphyCT","SenThomTillis",7
"ChrisMurphyCT","SenToomey",4
"ChrisMurphyCT","SenWarren",1
"ChrisMurphyCT","timkaine",2
"ChrisVanHollen","ChrisCoons",1
"ChrisVanHollen","ChrisMurphyCT",8
"ChrisVanHollen","MarkWarner",1
"ChrisVanHollen","MartinHeinrich",1
"ChrisVanHollen","RonWyden",1
"ChrisVanHollen","RoyBlunt",1
"ChrisVanHollen","SenAlexPadilla",1
"ChrisVanHollen","SenatorCantwell",1
"ChrisVanHollen","SenatorCardin",17
"ChrisVanHollen","SenatorCarper",2
"ChrisVanHollen","SenatorFischer",1
"ChrisVanHollen","SenatorLujan",4
"ChrisVanHollen","SenatorMenendez",1
"ChrisVanHollen","SenatorWarnock",1
"ChrisVanHollen","SenBlumenthal",2
"ChrisVanHollen","SenBobCasey",2
"ChrisVanHollen","SenCapito",2
"ChrisVanHollen","SenDanSullivan",2
"ChrisVanHollen","SenGaryPeters",1
