"screen_name","profile_image_url","followers_count","name","state","party"
"SenatorBaldwin","http://pbs.twimg.com/profile_images/1267871657332531202/PStp0GRz_normal.jpg",147335,"Baldwin, Tammy","WI","D"
"SenJohnBarrasso","http://pbs.twimg.com/profile_images/1143907394/twitter_profile_pic_normal.JPG",159277,"Barrasso, John","WY","R"
"SenatorBennet","http://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_normal.jpg",312563,"Bennet, Michael","CO","D"
"MarshaBlackburn","http://pbs.twimg.com/profile_images/1082735690213924864/VRFUWsuH_normal.jpg",648271,"Blackburn, Marsha","TN","R"
"SenBlumenthal","http://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg",729448,"Blumenthal, Richard","CT","D"
"RoyBlunt","http://pbs.twimg.com/profile_images/535810548802125824/X0pxn3zA_normal.jpeg",129557,"Blunt, Roy","MO","R"
"CoryBooker","http://pbs.twimg.com/profile_images/1296891138532679680/8axGb9ml_normal.jpg",4934686,"Booker, Cory","NJ","D"
"JohnBoozman","http://pbs.twimg.com/profile_images/970776346250104834/i7B-Xp9G_normal.jpg",105680,"Boozman, John","AR","R"
"SenatorBraun","http://pbs.twimg.com/profile_images/1080872040184401924/tXytvVUd_normal.jpg",39376,"Braun, Mike","IN","R"
"SenSherrodBrown","http://pbs.twimg.com/profile_images/1329104002055892994/VpIXrM7k_normal.jpg",518306,"Brown, Sherrod","OH","D"
"SenatorBurr","http://pbs.twimg.com/profile_images/1219989247656124417/Pnd9hVqg_normal.jpg",172884,"Burr, Richard","NC","R"
"SenatorCantwell","http://pbs.twimg.com/profile_images/1112707249032626176/j7drmGgX_normal.png",260488,"Cantwell, Maria","WA","D"
"SenCapito","http://pbs.twimg.com/profile_images/570247761044312064/gBmXhrin_normal.jpeg",91723,"Capito, Shelley Moore","WV","R"
"SenatorCardin","http://pbs.twimg.com/profile_images/1402649368738603013/Afm1nveV_normal.jpg",263323,"Cardin, Ben","MD","D"
